Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI
Statewide,Both,AllSite,05yrs,23126262,120829,475.7,473,478.4,13930420,83386,479.7,476.4,483.1,7523094,33699,495.9,490.4,501.5
Nationwide,Both,AllSite,05yrs,1581534421,8136881,454.5,454.2,454.8,1003578378,6267314,470.2,469.8,470.6,204332467,869011,468.8,467.8,469.9
A9001,Both,AllSite,05yrs,279097,1510,505.9,480.2,532.7,229973,1383,519.5,491.9,548.3,32542,101,481.9,383.5,596.5
A9002,Both,AllSite,05yrs,305865,1563,456.7,433.6,480.7,143779,996,473.3,442.7,505.5,70310,283,504,440.9,573.2
A9003,Both,AllSite,05yrs,309981,1885,535.5,510.9,560.9,118975,891,526.1,490.8,563.6,151775,838,565.8,526.4,607.4
A9004,Both,AllSite,05yrs,324503,1792,475.4,453.2,498.3,149027,997,448.5,420,478.6,160079,764,537.3,498.5,578.2
A9005,Both,AllSite,05yrs,309704,1391,487.2,459.9,515.6,24606,149,548.8,461.4,650.8,247361,1137,497.8,466.4,530.7
A9006,Both,AllSite,05yrs,294638,1369,460.9,436.1,486.7,178009,949,466.7,436.8,498.1,98218,388,469.4,421,521.5
A9007,Both,AllSite,05yrs,323260,1426,419.5,397.2,442.7,177729,742,415.3,384.3,448.2,118633,613,431.2,396.7,468.1
A9008,Both,AllSite,05yrs,336621,1887,494.3,471.7,517.8,264274,1593,503.7,478.6,529.9,53735,268,526.8,462.8,596.9
A9009,Both,AllSite,05yrs,309048,1432,451,427.3,475.7,195325,1032,435.5,408.5,463.8,98494,384,533.1,477.1,593.5
A9010,Both,AllSite,05yrs,316394,1702,447,425.4,469.6,207391,1265,449.1,423.5,476,86956,394,456.1,411.3,504.4
A9011,Both,AllSite,05yrs,310119,1776,506.8,482.6,531.9,251341,1583,518.8,492.6,546.1,35220,147,522.5,432.8,624.3
A9013,Both,AllSite,05yrs,300620,1398,467.3,442.9,492.8,210982,1117,477.3,449.4,506.4,58714,223,448.4,387.4,516
A9014,Both,AllSite,05yrs,283144,1265,512.9,483.7,543.5,226151,1121,524.6,493,557.7,33938,89,444.6,347.4,558.3
A9015,Both,AllSite,05yrs,307158,1591,460.6,437.5,484.6,99120,625,553.8,508.6,602.1,185556,879,413.5,385.8,442.7
A9016,Both,AllSite,05yrs,395658,2012,456.3,436.3,477,303792,1809,474.5,452.5,497.4,77730,185,375.4,315.6,442.4
A9017,Both,AllSite,05yrs,314711,1804,491.2,468.2,515.1,138925,951,508.1,475.3,542.7,166179,843,493,459.1,528.7
A9018,Both,AllSite,05yrs,291492,1650,481.2,457.6,505.8,247071,1496,494,468.5,520.7,23593,112,480.6,391.9,583.2
A9019,Both,AllSite,05yrs,329689,1537,464.7,440.8,489.5,132461,861,478.3,445.9,512.7,128217,481,500.8,450.5,554.8
A9020,Both,AllSite,05yrs,329288,1637,484.4,460.7,509,73493,576,462.6,422.7,505.9,243898,1045,509.2,477,542.8
A9021,Both,AllSite,05yrs,303290,1868,466.6,445,489.1,207160,1604,485.9,461.1,512,35926,75,392.3,296.3,506.7
A9022,Both,AllSite,05yrs,321131,1653,501.9,477.5,527.3,127324,794,508.1,472.4,545.9,186212,851,510,475.3,546.4
A9023,Both,AllSite,05yrs,317386,1730,478.2,455.2,502.1,102472,518,422.1,384.4,463,189096,1144,525.9,494.7,558.6
A9024,Both,AllSite,05yrs,306827,1361,448.7,424.1,474.3,114148,508,417.5,379.5,458.7,163104,788,495.7,459.8,533.5
A9025,Both,AllSite,05yrs,291306,1308,484.2,457.7,511.8,182928,1012,503,471.7,535.9,88238,266,456.5,399.6,518.9
A9026,Both,AllSite,05yrs,314519,1669,451.8,429.6,474.8,172173,1091,445.6,418,474.7,121567,534,484.3,442.7,528.7
A9027,Both,AllSite,05yrs,276946,1418,504.8,477.9,532.7,198085,1138,521.9,491.1,554.1,46476,212,515.8,445.1,594.3
A9028,Both,AllSite,05yrs,307245,1955,455.6,434.8,477.1,225182,1754,484.2,460.4,509.1,30191,68,294.3,224.7,378.2
A9029,Both,AllSite,05yrs,313429,1417,471.1,446.2,496.9,280645,1336,477.1,451.2,504.1,17595,54,466.5,345.1,613.8
A9030,Both,AllSite,05yrs,317532,1649,474.8,451.7,498.7,161120,1200,481,452.7,510.9,123013,386,526.2,466.8,590.3
A9031,Both,AllSite,05yrs,279051,1149,489.7,459.5,521.2,226152,1021,508.9,475.8,543.7,32895,107,457.2,364.9,564.5
A9033,Both,AllSite,05yrs,356316,1703,473.6,450.5,497.6,318123,1596,481.2,457,506.4,23840,81,450.8,352.7,566.3
A9034,Both,AllSite,05yrs,313318,1751,469.2,446.9,492.4,182547,1164,458.9,431.9,487.3,117246,567,519.2,476,565.3
A9035,Both,AllSite,05yrs,318445,1723,481.6,458.7,505.4,159098,904,471.5,440.6,504,147172,803,520,483.7,558.3
A9036,Both,AllSite,05yrs,328808,1648,458.1,435.8,481.2,232711,1364,460,435.2,485.9,74448,231,471.8,405.8,544.6
A9037,Both,AllSite,05yrs,302294,1948,470.1,448.7,492.3,223980,1583,480.8,456.3,506.4,45682,239,452.5,395.4,515.8
A9038,Both,AllSite,05yrs,316397,1496,441.2,418.8,464.5,217421,1157,445.3,419.6,472.2,75005,287,450.3,397.6,507.7
A9039,Both,AllSite,05yrs,324432,1892,502.8,479.8,526.7,234029,1551,515.3,489.1,542.7,63086,277,529.4,465.7,599
A9040,Both,AllSite,05yrs,286766,1525,498.7,473.6,524.8,190264,1210,514.7,485.5,545.3,63049,269,523.4,459.2,593.6
A9041,Both,AllSite,05yrs,318297,1607,458.5,435.6,482.4,203504,1215,470.1,442.9,498.8,82991,324,479.5,424.3,539.5
A9042,Both,AllSite,05yrs,317095,1615,523,496.2,550.9,150861,958,523.3,489.1,559.3,113417,484,565.5,507.3,628.2
A9043,Both,AllSite,05yrs,305510,1519,481.9,457.4,507.4,141494,819,463.6,431.5,497.6,149182,689,528.3,487.8,571.2
A9044,Both,AllSite,05yrs,383187,1853,473.7,452,496.2,157683,1004,486.3,455.9,518.2,213518,826,468.8,436,503.4
A9045,Both,AllSite,05yrs,319353,1466,426.3,404.2,449.3,72444,458,393.8,356.4,434.7,221975,912,451.8,421.5,483.7
A9046,Both,AllSite,05yrs,312628,1454,480.2,454.9,506.5,31567,283,493.1,430.1,564.6,268319,1152,501.7,470.5,534.5
A9048,Both,AllSite,05yrs,322771,1060,465.6,437,495.4,142080,296,409.8,362.1,462,152043,742,507.8,470.6,547.1
A9049,Both,AllSite,05yrs,316574,1448,458.4,434,483.8,195249,1168,465.3,437.7,494.3,92417,229,518,439,605.9
B0002,Both,AllSite,05yrs,260582,1387,453.2,429.2,478.1,198503,1180,465.8,438.9,493.9,50210,185,416.1,355.9,483.3
B0004,Both,AllSite,05yrs,342496,2080,475.5,454.7,497,202189,1410,461.4,436.4,487.7,129062,644,524.6,483.5,568.1
B0010,Both,AllSite,05yrs,310725,1685,457.2,435,480.2,171342,1060,452.6,424.6,482.1,129394,600,481.1,442.6,522
B0011,Both,AllSite,05yrs,365714,1909,469.6,448.2,491.7,321035,1770,480.6,457.9,504.1,30089,118,424.3,348.3,511.7
B0013,Both,AllSite,05yrs,332283,1504,476.4,452,501.9,221394,1130,480.4,452.1,510.1,70047,271,553.7,485.1,628.6
B0016,Both,AllSite,05yrs,288845,1783,486.1,463.1,509.9,161534,1093,478.6,449.4,509.3,120627,676,507,468.1,548.3
B0019,Both,AllSite,05yrs,286279,1796,477.2,454.9,500.4,167396,1182,471.9,444.3,500.9,111424,599,505.8,465.6,548.5
B0024,Both,AllSite,05yrs,382487,2161,486.6,465.8,508,230036,1425,476.4,451.4,502.5,122434,642,520.9,479.6,564.8
B0026,Both,AllSite,05yrs,256062,1562,480,455.8,505.3,162919,1149,502.9,472.9,534.4,72653,400,525,473.1,581.1
B0030,Both,AllSite,05yrs,329054,1710,468.8,446.2,492.3,137686,875,472.1,440.2,506,174549,806,494.7,459.2,532.2
B0032,Both,AllSite,05yrs,289491,1751,544.3,518.5,571.1,151705,1000,524,491.3,558.4,128516,741,604.7,560.2,651.8
B0034,Both,AllSite,05yrs,479651,2553,483.1,464.2,502.6,359372,2049,483.7,462.6,505.6,105840,495,524.9,478.5,574.5
B0035,Both,AllSite,05yrs,372473,1940,476,454.4,498.4,234477,1404,489.3,463.1,516.7,121175,512,472.1,430.6,516.4
B0038,Both,AllSite,05yrs,295551,1647,501.6,477.3,526.9,234789,1434,512.1,485.5,539.8,44080,187,539.3,461.9,625.5
B0043,Both,AllSite,05yrs,369689,1965,490,468.1,512.6,223342,1374,490.9,464.7,518.3,120098,558,551.4,504.7,601
B0044,Both,AllSite,05yrs,360425,2073,478.9,458.1,500.4,230083,1491,477.5,452.9,503.3,120210,566,508.9,466.7,553.7
B0047,Both,AllSite,05yrs,340416,1853,449.8,429.1,471.3,203037,1289,456.7,431.3,483.4,129218,557,459.1,420.7,500
B0049,Both,AllSite,05yrs,317291,1363,418.4,396,441.8,182198,911,410.3,383.3,438.8,122017,439,449,407.1,494
B0051,Both,AllSite,05yrs,466728,2485,471.3,452.7,490.5,362772,2040,470.7,450.2,492,82981,393,514.5,463.7,569.2
B0058,Both,AllSite,05yrs,487370,2569,476.1,457.6,495.2,380235,2249,488.9,468.5,509.9,67603,259,475.4,416.8,539.7
B0059,Both,AllSite,05yrs,265630,1501,507.1,481,534.2,173496,1076,511.4,480.4,543.9,81954,403,521.8,470.4,577.3
B0066,Both,AllSite,05yrs,418063,2473,515.7,495.1,536.9,232492,1545,513.8,487.8,541,174404,904,534.8,499.6,571.8
B0067,Both,AllSite,05yrs,521539,3061,484,466.5,502,401577,2488,483.1,463.7,503.2,96712,519,534.5,487.8,584.5
B0071,Both,AllSite,05yrs,262380,1148,508.1,478.6,538.9,189205,930,508.4,475.8,542.7,39285,144,586.3,487.2,698.2
B0072,Both,AllSite,05yrs,263196,1257,460.6,434.6,487.7,174737,910,459.4,429.1,491.3,69660,292,478.4,422.1,539.9
Statewide,Female,AllSite,05yrs,11816700,56096,415.3,411.8,418.8,7072836,38489,424.9,420.5,429.3,3948962,15802,417.3,410.7,424.1
Nationwide,Female,AllSite,05yrs,803387471,4020369,423.1,422.6,423.5,509396407,3071861,442.1,441.6,442.6,106649302,427793,410.7,409.4,411.9
A9001,Female,AllSite,05yrs,143085,734,459.9,426.6,495.2,117508,677,479,442.7,517.6,17122,46,397,277.4,547.7
A9002,Female,AllSite,05yrs,156573,795,427.5,397.3,459.5,74703,511,455.5,413.8,500.8,38022,132,411.9,339.5,494.7
A9003,Female,AllSite,05yrs,163534,903,472.6,441.6,505.4,61827,425,470.2,424.2,520.3,83188,398,474.1,427.1,524.8
A9004,Female,AllSite,05yrs,171184,816,394.8,367.4,423.8,78505,460,388.9,351.7,429.4,85128,342,424.5,379.7,473.1
A9005,Female,AllSite,05yrs,166396,645,401.6,369.2,436.1,12957,56,383.2,286,509.6,135789,552,417.3,380.3,456.9
A9006,Female,AllSite,05yrs,150277,608,386.4,355.8,419.1,89673,402,384.5,347.1,424.9,51995,190,407.1,348.6,472.4
A9007,Female,AllSite,05yrs,169880,643,349,321.4,378.3,90849,336,360.8,321,404.2,65421,288,356,314.3,402
A9008,Female,AllSite,05yrs,170875,852,429.6,400.5,460.3,134937,725,444.5,411.9,479.1,27072,114,411.3,336,498.4
A9009,Female,AllSite,05yrs,161952,691,397.5,367.7,429.2,101974,476,376,341.7,413,52714,207,497.6,429.1,573.5
A9010,Female,AllSite,05yrs,166106,817,390.8,363.1,420.1,109118,617,401.2,367.8,437.1,46287,175,367.4,313.7,427.7
A9011,Female,AllSite,05yrs,158425,844,457.6,426.3,490.7,129017,754,472.8,438.5,509.2,18132,66,415.5,315.3,536.5
A9013,Female,AllSite,05yrs,150180,656,414.1,382.5,447.5,105236,514,422.3,385.9,461.2,30177,113,415.9,337.6,506.6
A9014,Female,AllSite,05yrs,143902,593,447.6,411.1,486.4,115696,528,466.1,426,509,17756,45,362.4,256.2,495.4
A9015,Female,AllSite,05yrs,165107,786,402.5,374,432.7,49818,300,518.4,457.7,585.1,104088,447,351.6,318.8,387
A9016,Female,AllSite,05yrs,208496,959,402.2,376.7,429,158421,859,421.7,393.1,451.9,42928,92,317.9,248.5,399.4
A9017,Female,AllSite,05yrs,161828,835,428,398.5,459,69394,429,454.3,410.5,501.7,87644,399,417.7,376.5,462.2
A9018,Female,AllSite,05yrs,150529,802,444.7,413.5,477.6,127646,732,461,427.1,497.1,12063,50,416.2,305.6,553.6
A9019,Female,AllSite,05yrs,168076,717,410.8,380.5,442.9,67634,394,424.5,381.7,471.1,67615,225,435.1,373.6,503.2
A9020,Female,AllSite,05yrs,178654,809,421.4,392.3,452.1,38058,279,420.9,366.9,481.9,134785,522,436.7,398.7,477.3
A9021,Female,AllSite,05yrs,155175,931,429.9,401.3,460.1,107532,791,443.4,410.3,478.9,18817,42,414.8,283,581.5
A9022,Female,AllSite,05yrs,164504,745,420.3,390,452.3,64080,335,414.1,369.4,463.1,96529,406,438.9,396.4,484.6
A9023,Female,AllSite,05yrs,161436,797,425.7,395.9,457.3,48371,214,382.3,330.5,440.9,101235,550,456.5,417.7,498
A9024,Female,AllSite,05yrs,148761,609,399.4,367.4,433.5,53006,222,398.6,344.6,459.4,83077,372,434.9,390.3,483.2
A9025,Female,AllSite,05yrs,150575,633,429.3,395.9,464.9,93424,481,447.3,407,490.7,47250,134,399,330.8,476.4
A9026,Female,AllSite,05yrs,165312,786,383.7,356,413.1,88972,511,377.5,342.3,415.6,66482,260,413.6,363.7,468.4
A9027,Female,AllSite,05yrs,138701,599,415.2,381.7,450.7,98855,486,438.2,399.1,480.1,23999,81,378.9,297.4,475.4
A9028,Female,AllSite,05yrs,157590,987,429.5,401.4,459.3,116859,885,455.7,423,490.7,16322,35,269.7,180.8,386.1
A9029,Female,AllSite,05yrs,160236,678,416,384.7,449,143595,629,415,382.7,449.4,9428,32,493.1,332.1,699.8
A9030,Female,AllSite,05yrs,165512,784,415.8,386.6,446.7,82969,556,428.9,390.9,470.1,66713,194,451.1,382.1,527.9
A9031,Female,AllSite,05yrs,140163,500,399.8,363.8,438.4,113654,444,418.4,378.5,461.3,17290,47,345.5,247.8,467.8
A9033,Female,AllSite,05yrs,178734,739,394.8,366.1,425.2,160025,700,406.4,376.1,438.5,11713,31,316.9,211.3,455.3
A9034,Female,AllSite,05yrs,162192,822,413.4,384.7,443.7,93315,533,405.1,369.5,443.5,62191,280,462.3,408.4,521.3
A9035,Female,AllSite,05yrs,161184,799,427.3,397.5,458.8,80212,413,415,374.9,458.4,75058,383,467.6,420.6,518.4
A9036,Female,AllSite,05yrs,170517,784,402.9,374.5,433,119956,632,399.3,367.5,433.2,39739,128,453.9,373.4,545.6
A9037,Female,AllSite,05yrs,156555,946,418.6,391,447.8,116158,778,435.4,403.3,469.7,24186,103,345.3,280.5,421.5
A9038,Female,AllSite,05yrs,162039,739,403.1,374.1,433.8,109821,558,405.5,371.8,441.7,40405,143,395.1,331.3,467.4
A9039,Female,AllSite,05yrs,165630,901,454.5,424.5,486.2,119073,712,458,423.5,494.8,33186,152,538.7,453.5,634.9
A9040,Female,AllSite,05yrs,146174,681,421.8,390.1,455.4,97817,540,435.5,398.5,475.2,32980,118,402.1,330.8,484
A9041,Female,AllSite,05yrs,165960,777,404.1,375.2,434.8,104746,577,418.4,382.9,456.4,45540,163,406.7,342.4,479.3
A9042,Female,AllSite,05yrs,162006,770,473.6,439.2,509.9,76893,459,484.8,439.7,533.5,60029,220,458.1,391.2,532.7
A9043,Female,AllSite,05yrs,155790,747,435.1,403.8,468.4,70683,390,414.1,372,460.1,78209,350,482.9,432.3,537.7
A9044,Female,AllSite,05yrs,197447,868,399,372.4,427.1,79850,466,423.6,384.3,466.2,112260,393,385.7,347.6,426.9
A9045,Female,AllSite,05yrs,171223,709,368.1,340.9,397,37556,236,394.2,340.9,454.7,121676,431,369.7,334.6,407.5
A9046,Female,AllSite,05yrs,168061,680,395.7,365.7,427.5,16475,128,437.1,350.3,542.7,145884,542,402.4,367.1,440.2
A9048,Female,AllSite,05yrs,162689,470,374.2,340.1,410.8,69311,112,303.4,245.9,369.8,80689,345,411.2,367.4,458.7
A9049,Female,AllSite,05yrs,165023,709,412.5,381.6,445.3,101151,560,419.5,383.8,458,50144,125,441.6,353.7,543.3
B0002,Female,AllSite,05yrs,119871,589,388.9,357.1,422.9,97466,513,404.4,368.9,442.7,18913,69,316.2,243.9,403.8
B0004,Female,AllSite,05yrs,172854,976,428.1,400.6,457.1,102198,642,410.4,377,446.2,65366,322,468.6,417.6,524.1
B0010,Female,AllSite,05yrs,162132,787,401.2,372.5,431.5,87529,492,411.6,373.7,452.6,69449,284,403.9,357.3,454.8
B0011,Female,AllSite,05yrs,187035,868,412.8,385.2,441.8,164281,810,425.4,396,456.5,15567,51,357.4,263.7,472.8
B0013,Female,AllSite,05yrs,166592,653,399.5,368.9,432,110527,485,403.4,367.6,441.7,36621,133,487.2,403.9,581.8
B0016,Female,AllSite,05yrs,130695,726,424.7,393.1,458.4,77207,470,434.2,393.9,478,50304,249,414.6,362.8,472
B0019,Female,AllSite,05yrs,140315,808,419.8,390.1,451.4,83165,550,440.6,402.1,482.1,53591,253,400.2,351.2,454.3
B0024,Female,AllSite,05yrs,194076,949,413.4,386.9,441.3,117046,602,394.5,362.7,428.5,64229,305,460.7,408.6,517.6
B0026,Female,AllSite,05yrs,130963,712,427.9,395.8,462,82279,520,461.3,420.3,505.5,38395,191,447.9,384.6,518.7
B0030,Female,AllSite,05yrs,169223,738,384.2,356.3,413.7,69134,376,399.1,358.1,443.9,91908,348,392.6,351,437.8
B0032,Female,AllSite,05yrs,144219,721,429.9,398.5,463.2,75894,396,403.4,363.7,446.5,64397,322,489.9,436.7,547.8
B0034,Female,AllSite,05yrs,242868,1186,426.8,402.3,452.4,183605,948,430.4,402.8,459.5,53714,234,448.4,391.6,511
B0035,Female,AllSite,05yrs,189192,882,416.3,388.5,445.6,117949,648,441.1,406.5,478,63568,222,374.2,325.6,427.9
B0038,Female,AllSite,05yrs,152031,762,438.8,407.6,471.8,120928,662,449,414.7,485.6,22966,91,475.3,379.7,586.8
B0043,Female,AllSite,05yrs,188984,941,443.7,415.2,473.6,113497,639,442.7,408,479.7,63124,289,506.4,448.3,569.7
B0044,Female,AllSite,05yrs,177608,931,413.7,386.7,442.1,115869,694,428.3,395.7,463,56803,232,393.4,343.3,448.8
B0047,Female,AllSite,05yrs,173410,878,402.8,375.7,431.3,103315,590,405.8,372.1,442,66035,285,418.7,370.4,471.6
B0049,Female,AllSite,05yrs,160768,625,359.2,330.5,389.7,90482,428,366.8,331.3,405.4,64367,192,357,306.9,412.9
B0051,Female,AllSite,05yrs,224381,1138,426.5,401.5,452.7,178230,938,427.5,399.9,456.6,35776,171,445.7,379.9,519.8
B0058,Female,AllSite,05yrs,247615,1158,405.8,382.4,430.4,194098,1020,420.3,394.3,447.6,35693,106,351.7,286,427.5
B0059,Female,AllSite,05yrs,134645,666,435.4,402.2,470.7,87054,486,455.6,415,499.3,42677,167,400.6,340.6,468
B0066,Female,AllSite,05yrs,217267,1128,445.5,419.1,473.1,119686,706,454.4,420,491,91928,412,443.5,400.8,489.5
B0067,Female,AllSite,05yrs,267264,1401,420,397.6,443.4,205631,1161,430.1,404.7,456.7,49915,209,405.2,350.6,465.8
B0071,Female,AllSite,05yrs,124948,533,450.2,412.2,490.8,90482,426,449.4,407.1,494.9,18581,60,476.3,356,621.7
B0072,Female,AllSite,05yrs,133495,609,422.4,388.9,458.2,87954,432,419.8,380.3,462.5,36117,140,416.1,347.5,494.1
Statewide,Male,AllSite,05yrs,11309562,64733,557,552.6,561.5,6857584,44897,552.8,547.6,558.1,3574132,17897,608.5,599,618.2
Nationwide,Male,AllSite,05yrs,778146950,4116512,500.6,500.1,501.1,494181971,3195453,511.9,511.3,512.4,97683165,441218,555.9,554.1,557.6
A9001,Male,AllSite,05yrs,136012,776,569.4,528.7,612.4,112465,706,577.4,534.4,623.1,15420,55,611.3,441.1,820.7
A9002,Male,AllSite,05yrs,149292,768,510.5,473.2,550.1,69076,485,519.4,471.9,570.7,32288,151,651.4,534.4,784.5
A9003,Male,AllSite,05yrs,146448,982,622.1,582.1,664.1,57147,466,602.6,547.1,662.7,68587,440,698.5,629.9,772.5
A9004,Male,AllSite,05yrs,153319,976,588.1,551.2,626.9,70522,537,534.9,490,583.4,74951,422,701.9,632,777.1
A9005,Male,AllSite,05yrs,143308,746,589.8,544,638.4,11649,93,697.5,556.6,871.7,111572,585,601.7,547.5,659.8
A9006,Male,AllSite,05yrs,144361,761,556.9,515.8,600.4,88336,547,569.5,520.6,621.9,46223,198,556.5,475.4,646.8
A9007,Male,AllSite,05yrs,153380,783,517.4,480,556.9,86880,406,485.7,436.3,539.2,53212,325,546.2,486.4,611.5
A9008,Male,AllSite,05yrs,165746,1035,576,540,613.8,129337,868,578.2,538.8,619.7,26663,154,684.6,574.9,808.5
A9009,Male,AllSite,05yrs,147096,741,526.4,487.3,567.6,93350,556,517.7,473.9,564.5,45780,177,597.5,495.5,713.2
A9010,Male,AllSite,05yrs,150288,885,530.4,495.3,567.4,98273,648,522.6,482,565.9,40669,219,577.2,500.9,661.6
A9011,Male,AllSite,05yrs,151695,932,574.7,536.1,615.3,122324,829,581.6,540.4,625.2,17088,81,704,529.5,912.4
A9013,Male,AllSite,05yrs,150440,742,535.1,496.7,575.7,105746,603,545.7,502.6,591.7,28537,110,489.3,394.5,599.3
A9014,Male,AllSite,05yrs,139242,672,598.5,550.2,649.7,110455,593,600.8,549.6,655.2,16181,44,575.4,390.7,807.9
A9015,Male,AllSite,05yrs,142051,805,542.4,504,582.9,49302,325,592.5,525.5,666,81468,432,514.9,465.7,567.8
A9016,Male,AllSite,05yrs,187162,1053,530.2,498,563.9,145371,950,548,513.1,584.8,34802,93,441.1,339.3,561.4
A9017,Male,AllSite,05yrs,152883,969,576,538.8,615.1,69531,522,578.3,528.1,632.3,78534,444,602.2,543.8,665
A9018,Male,AllSite,05yrs,140963,848,533.2,496.6,571.8,119425,764,543.3,503.9,585,11530,62,572.9,430.6,746.8
A9019,Male,AllSite,05yrs,161613,820,536.8,498.4,577.3,64827,467,555.3,504.3,610.3,60602,256,576,495.1,665.7
A9020,Male,AllSite,05yrs,150634,828,576.5,536.5,618.7,35435,297,526.3,465.6,594,109113,523,618.6,561.5,679.5
A9021,Male,AllSite,05yrs,148115,937,525.4,491.4,561.4,99628,813,554,515,595.5,17109,33,395.7,241.3,600.8
A9022,Male,AllSite,05yrs,156627,908,614.6,573.7,657.6,63244,459,631.5,572.9,694.6,89683,445,615.5,556.8,678.6
A9023,Male,AllSite,05yrs,155950,933,545.4,508.9,583.8,54101,304,468.8,412.6,531.5,87862,594,624.9,573,680.3
A9024,Male,AllSite,05yrs,158065,752,512.4,473.2,554,61141,286,441.4,387,501.9,80027,416,594.8,532.4,662.4
A9025,Male,AllSite,05yrs,140731,675,562.5,519.3,608.2,89504,531,582.2,532.3,635.5,40988,132,546.8,448.1,659.2
A9026,Male,AllSite,05yrs,149206,883,545.1,508.6,583.5,83201,580,534.2,490.1,581.5,55084,274,598.6,524.3,680
A9027,Male,AllSite,05yrs,138245,819,608.3,565.1,653.8,99230,652,621.5,572.5,673.7,22476,131,675.1,556.9,810.3
A9028,Male,AllSite,05yrs,149655,968,501.5,469.8,534.9,108323,869,533.5,497.6,571.7,13869,33,334.8,224.2,478.2
A9029,Male,AllSite,05yrs,153192,739,548.3,507.6,591.3,137050,707,562.8,520.1,608,8168,22,420.8,253.3,651.3
A9030,Male,AllSite,05yrs,152020,865,557.3,519.9,596.7,78151,644,555,511.4,601.6,56300,192,653.1,540.8,779.6
A9031,Male,AllSite,05yrs,138888,649,601,549.6,655.6,112498,577,621.9,565.7,681.8,15605,60,677.4,463.4,944.1
A9033,Male,AllSite,05yrs,177583,964,568.9,531.3,608.4,158098,896,572.3,533,613.7,12126,50,633.9,453.9,855.7
A9034,Male,AllSite,05yrs,151126,929,542.5,507,580,89232,631,533.4,491.1,578.7,55056,287,591.2,521.2,667.7
A9035,Male,AllSite,05yrs,157260,924,556,519.7,594.2,78885,491,544.3,495.9,596.2,72115,420,599,540.8,661.6
A9036,Male,AllSite,05yrs,158291,864,535.3,499.3,573.2,112755,732,542.1,502.6,584,34709,103,507,390.5,644.3
A9037,Male,AllSite,05yrs,145738,1002,542.2,508.1,578.1,107821,805,546.5,508,587.4,21497,136,589.3,490.7,702.2
A9038,Male,AllSite,05yrs,154358,757,501.6,465.3,539.9,107600,599,510.7,469.5,554.7,34600,144,526.3,437.9,626.6
A9039,Male,AllSite,05yrs,158802,991,563.4,527.6,601.1,114956,839,586.8,546.2,629.7,29899,125,508.2,417,612.9
A9040,Male,AllSite,05yrs,140592,844,603.4,562.2,646.7,92447,670,619.8,572.8,669.9,30070,151,715.8,592.9,855
A9041,Male,AllSite,05yrs,152337,830,538,500.3,577.8,98757,638,544.4,501.1,590.7,37451,161,599.1,498.5,712.8
A9042,Male,AllSite,05yrs,155089,845,586.2,542.9,631.9,73969,499,579.6,525.4,638,53388,264,697.5,591.5,815.5
A9043,Male,AllSite,05yrs,149719,772,552.4,512.6,594.6,70812,429,537.1,486.1,592.2,70973,339,592.3,525.6,664.8
A9044,Male,AllSite,05yrs,185740,985,581.6,544.5,620.4,77833,538,578.5,529.5,631,101258,433,597.5,537.6,662
A9045,Male,AllSite,05yrs,148130,757,503.6,466.8,542.4,34888,222,402.9,349.6,463.4,100298,481,569.2,514.5,627.9
A9046,Male,AllSite,05yrs,144567,774,603.5,559.3,650.3,15092,155,570.2,477.6,680.2,122435,610,657.9,598.8,721.1
A9048,Male,AllSite,05yrs,160083,590,595.1,545.5,647.8,72770,184,538.6,459.5,626.9,71354,397,656.4,589.6,728.4
A9049,Male,AllSite,05yrs,151551,739,526.5,486.3,568.9,94098,608,533,488.7,580.4,42273,104,642.9,491.7,821.4
B0002,Male,AllSite,05yrs,140711,798,543.7,505.6,584,101037,667,548.8,506.8,593.4,31297,116,541.4,438.3,660.2
B0004,Male,AllSite,05yrs,169642,1104,539.8,507.7,573.6,99991,768,524.1,486.2,564.5,63696,322,623.9,553.2,700.6
B0010,Male,AllSite,05yrs,148593,898,538.8,503.3,576.2,83813,568,516.5,473.7,562.6,59945,316,597.8,531.7,669.8
B0011,Male,AllSite,05yrs,178679,1041,542.4,508.7,577.9,156755,960,551.6,515.9,589.1,14522,67,510.2,387.2,659.2
B0013,Male,AllSite,05yrs,165691,851,570.6,531,612.4,110867,645,571.7,526.5,619.9,33426,138,657.1,538.4,792.2
B0016,Male,AllSite,05yrs,158150,1057,556,521.5,592.2,84327,623,528.2,485.9,573.7,70323,427,615.4,553.6,682.3
B0019,Male,AllSite,05yrs,145964,988,560.7,525.6,597.5,84231,632,522.1,481.1,565.9,57833,346,659.2,589.1,735.3
B0024,Male,AllSite,05yrs,188411,1212,581.1,547.8,616,112990,823,578.9,539,621.1,58205,337,598,531.8,670.1
B0026,Male,AllSite,05yrs,125099,850,543.8,506.7,583,80640,629,551.9,507.9,599.1,34258,209,642.8,554.3,741.4
B0030,Male,AllSite,05yrs,159831,972,571.4,534.5,610.2,68552,499,557.7,508.1,611.2,82641,458,628.8,566.5,695.7
B0032,Male,AllSite,05yrs,145272,1030,687,643.8,732.3,75811,604,663.8,610.2,720.9,64119,419,771.2,691.4,857.3
B0034,Male,AllSite,05yrs,236783,1367,564.3,533.9,596,175767,1101,562.3,528.5,597.7,52126,261,630.4,553.4,714.7
