"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","Kidney",176040,10.4,6.5,16.6,135485,9.7,5.5,17.0,"","","","",18990,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Male","Thyroid",191510,"","","",135495,"","","","","","","",29550,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","Thyroid",176040,17.0,11.0,25.5,135485,16.3,9.6,26.4,"","","","",18990,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Male","Liver",191510,9.9,6.5,14.9,135495,8.8,5.4,14.8,"","","","",29550,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","Liver",176040,"","","",135485,"","","","","","","",18990,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Male","Pancreas",191510,11.0,7.2,16.5,135495,10.3,6.5,16.9,"","","","",29550,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","Pancreas",176040,11.2,7.5,17.0,135485,10.5,6.7,17.2,"","","","",18990,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","AllSite",367550,393.1,375.5,411.6,270980,386.9,367.5,407.5,"","","","",48540,371.9,296.9,463.6,"","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","Lung",367550,53.9,47.7,61.0,270980,53.2,46.6,61.1,"","","","",48540,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","CRC",367550,32.8,27.9,38.6,270980,30.1,24.9,36.5,"","","","",48540,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","Mela",367550,20.1,16.1,25.0,270980,21.6,16.9,27.6,"","","","",48540,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","Lymph",367550,17.0,13.5,21.4,270980,16.7,12.9,21.7,"","","","",48540,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","Urinary",367550,9.2,6.7,12.6,270980,9.8,7.0,13.9,"","","","",48540,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","Kidney",367550,15.3,12.0,19.5,270980,14.9,11.4,19.7,"","","","",48540,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","Thyroid",367550,9.9,6.9,13.9,270980,10.9,7.1,16.3,"","","","",48540,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","Liver",367550,7.2,5.1,10.2,270980,6.0,4.0,9.4,"","","","",48540,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Both","Pancreas",367550,11.3,8.5,14.9,270980,10.6,7.8,14.7,"","","","",48540,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
