"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Male","AllSite",173530,504.6,475.4,535.8,147590,510.2,479.3,543.5,"","","","",12455,349.9,231.2,522.5,"","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Female","AllSite",169015,431.8,404.3,461.2,144240,441.9,412.1,474.2,"","","","",11785,470.0,334.7,651.3,"","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Male","Prostate",173530,106.8,94.5,120.9,147590,105.4,92.7,120.4,"","","","",12455,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Female","Breast",169015,130.5,115.9,147.1,144240,135.3,119.4,153.8,"","","","",11785,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Male","Lung",173530,67.1,56.9,79.2,147590,68.3,57.6,81.4,"","","","",12455,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Female","Lung",169015,54.5,45.5,65.6,144240,57.2,47.5,69.5,"","","","",11785,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Male","CRC",173530,39.2,31.3,49.1,147590,39.2,31.0,49.8,"","","","",12455,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Female","CRC",169015,37.8,30.4,47.3,144240,36.7,29.0,47.1,"","","","",11785,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Male","Mela",173530,52.4,43.2,63.8,147590,54.2,44.3,66.6,"","","","",12455,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Female","Mela",169015,30.2,23.2,39.6,144240,32.2,24.3,43.1,"","","","",11785,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Female","Uterine",169015,21.5,16.3,29.0,144240,20.4,15.1,28.5,"","","","",11785,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
"B0392","Shasta, Trinity","Redding, Junction City, Mad River, Lakehead, Burney, Hayfork, Lewiston, Shasta, Douglas City, Palo Cedro, Bella Vista, Burnt Ranch, Hat Creek, Trinity Village, Coffee Creek, Shingletown, Ruth, Weaverville, Montgomery Creek, Trinity Center, French Gulch, Millville, Keswick, Hyampom, Big Bend","https://www.example.com?address=B0392","Male","Lymph",173530,20.1,14.5,28.1,147590,19.9,14.0,28.6,"","","","",12455,"","","","","","","",2,68509,88.9,17.1,4.2,84.7,0.6,1.7,6.9,1.7
