"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Male","AllSite",229005,547.5,518.9,577.5,151190,563.6,531.6,597.5,"","","","",63515,400.0,319.6,500.1,"","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Female","AllSite",228920,450.9,425.7,477.5,155410,458.1,429.6,488.6,"","","","",58710,375.1,306.8,457.8,"","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Male","Prostate",229005,126.6,113.5,141.2,151190,124.6,110.6,140.6,"","","","",63515,100.5,63.8,158.2,"","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Female","Breast",228920,132.1,118.6,147.1,155410,135.3,119.8,152.8,"","","","",58710,100.0,67.8,147.2,"","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Male","Lung",229005,75.7,65.3,87.5,151190,82.4,70.8,96.1,"","","","",63515,"","","","","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Female","Lung",228920,58.9,50.4,68.8,155410,64.8,55.2,76.4,"","","","",58710,"","","","","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Male","CRC",229005,54.1,45.4,64.4,151190,56.6,46.7,68.7,"","","","",63515,49.6,25.2,96.3,"","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Female","CRC",228920,35.4,28.7,43.5,155410,37.0,29.6,46.5,"","","","",58710,"","","","","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Male","Mela",229005,36.3,29.2,44.8,151190,37.1,29.1,47.4,"","","","",63515,"","","","","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
"B0031","Tehama, Glenn","Mineral, Red Bluff, Lake California, Manton, Flournoy, Paynes Creek, Bend, Rancho Tehama Reserve, Corning","https://www.example.com?address=B0031","Female","Mela",228920,23.5,17.9,30.6,155410,24.1,17.5,33.1,"","","","",58710,"","","","","","","",2,91585,50.1,18.6,11.1,67.0,0.6,1.6,26.7,1.6
