"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Male","AllSite",194715,400.2,373.1,429.2,135080,406.1,376.6,438.1,14260,290.9,117.8,707.6,32345,224.9,145.2,345.6,"","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Female","AllSite",144425,375.7,347.9,405.7,118865,372.8,343.1,405.3,"","","","",14320,305.0,202.9,448.0,"","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Male","Prostate",194715,89.2,77.1,103.2,135080,86.7,74.1,101.7,14260,"","","",32345,"","","","","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Female","Breast",144425,105.8,91.4,122.5,118865,108.6,93.0,127.1,"","","","",14320,"","","","","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Male","Lung",194715,43.9,35.2,54.5,135080,44.7,35.4,56.5,14260,"","","",32345,"","","","","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Female","Lung",144425,45.0,36.2,56.1,118865,45.3,36.1,57.5,"","","","",14320,"","","","","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Male","CRC",194715,36.2,28.4,45.9,135080,35.1,27.0,45.9,14260,"","","",32345,"","","","","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Female","CRC",144425,29.4,22.1,39.1,118865,28.2,20.5,38.9,"","","","",14320,"","","","","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Male","Mela",194715,30.6,23.2,40.2,135080,30.8,22.9,41.4,14260,"","","",32345,"","","","","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Female","Mela",144425,20.5,14.1,29.5,118865,18.8,12.3,28.5,"","","","",14320,"","","","","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
"B0464","Sierra, Lassen, Modoc, Plumas","Gold Mountain, Greenville, Fort Bidwell, Janesville, Greenhorn, Patton Village, Litchfield, Tobin, Warner Valley, Downieville, La Porte, Twain, Lookout, Milford, East Quincy, Bucks Lake, Johnsville, Meadow Valley, Mohawk Vista, Verdi, Lake Davis, Sierraville, Quincy, Chester, Cromberg, Beckwourth, Chilcoot-Vinton, Westwood, Adin, California Pines, Iron Horse, Crescent Mills, Little Grass Valley, Mabie, Doyle, Susanville, Portola, Graeagle, Spaulding, Johnstonville, Pike, Cedarville, Plumas Eureka, Taylorsville, Lake City","https://www.example.com?address=B0464","Female","Uterine",144425,27.2,20.4,36.3,118865,23.3,16.7,32.9,"","","","",14320,"","","","","","","",2,67828,76.4,15.0,6.1,74.8,4.9,1.6,13.9,1.6
