Zone,Years,TotalPop,PctMinority,PctHispanic,PctBlackNH,PctRural,PctBelowPov,PctEducLHS,PctEducBch,PctNoHealthIns
A9031,05yrs,52290,18.43,4.87,10.82,8.49,8.56,9.36,31.67,7.87
A9031,10yrs,52290,18.43,4.87,10.82,8.49,7.57,9.17,29.6,7.75
A9033,05yrs,68034,10.16,2.72,5.56,65.91,16.4,16.97,17.94,12.49
A9033,10yrs,68034,10.16,2.72,5.56,65.91,14.18,17.45,17.18,12.53
A9034,05yrs,62719,40.96,2.32,35.88,27.18,18.24,11.74,25.41,12.07
A9034,10yrs,62719,40.96,2.32,35.88,27.18,17.12,13.35,23.08,12.25
A9035,05yrs,62689,51.44,2.21,46.28,16.31,23.27,19.58,15.24,15.92
A9035,10yrs,62689,51.44,2.21,46.28,16.31,22.73,20.6,15.01,15.83
A9036,05yrs,64680,28.75,3.07,20.89,10.56,15.68,10.03,28.44,13.66
A9036,10yrs,64680,28.75,3.07,20.89,10.56,15.19,11.06,27.63,13.68
A9037,05yrs,59950,25.25,7.53,14.62,0,11.22,12.62,27.79,10.86
A9037,10yrs,59950,25.25,7.53,14.62,0,11.44,13.53,27.46,10.74
A9038,05yrs,60045,31.39,4.91,22.98,25.3,17.23,12.45,27.99,11.76
A9038,10yrs,60045,31.39,4.91,22.98,25.3,16.65,12.92,26.71,11.88
A9039,05yrs,62382,27.25,5.01,17.66,6.62,12.62,12.03,25.53,13.08
A9039,10yrs,62382,27.25,5.01,17.66,6.62,11.67,11.74,26.36,13.1
A9040,05yrs,56801,33.61,5.27,21.38,6.58,20.86,20.86,12.65,17.29
A9040,10yrs,56801,33.61,5.27,21.38,6.58,19.17,24.49,12.1,17.21
A9041,05yrs,62880,35.79,5.07,25.05,3.87,9.97,4.91,50.74,7.42
A9041,10yrs,62880,35.79,5.07,25.05,3.87,10.46,5.01,51.84,7.37
A9042,05yrs,63315,52.52,10.16,35.83,6.18,16.92,22.87,13.78,13.5
A9042,10yrs,63315,52.52,10.16,35.83,6.18,16.57,21.49,13.73,13.39
A9043,05yrs,58582,54.87,2.88,49.29,9.19,24.43,19.85,22.95,17.33
A9043,10yrs,58582,54.87,2.88,49.29,9.19,24.09,20.09,20.97,17.29
A9044,05yrs,75726,59.62,1.82,55.86,17.22,34.61,22.59,14.83,21.04
A9044,10yrs,75726,59.62,1.82,55.86,17.22,33.6,22.81,14.46,21.04
A9045,05yrs,58341,77.16,4.85,68.08,1.18,24.39,15.09,25.17,12.76
A9045,10yrs,58341,77.16,4.85,68.08,1.18,22.84,15.89,24.81,12.6
A9046,05yrs,62111,90.42,2.61,86.11,0.01,26.47,16.28,15.04,15.43
A9046,10yrs,62111,90.42,2.61,86.11,0.01,24.44,18.26,16.12,15.46
A9048,05yrs,63686,59.16,3.6,49.44,0.74,41.03,13.1,38.45,16.37
A9048,10yrs,63686,59.16,3.6,49.44,0.74,40.86,15.23,38.48,16.32
A9049,05yrs,62835,35.46,5.02,25.56,2.06,10.6,5.78,40.07,9.63
A9049,10yrs,62835,35.46,5.02,25.56,2.06,9.83,6.24,40.29,9.62
